created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2024-09-09T20:30:22+00:00,1,26,,,,,,,
2024-09-09T20:32:32+00:00,2,13,,,,,,,
2024-09-09T20:34:48+00:00,3,9,,,,,,,
2024-09-09T20:38:05+00:00,4,10,,,,,,,
2024-09-09T20:38:35+00:00,5,,10,,,,,,
2024-09-10T18:39:45+00:00,6,29,,,,,,,
2024-09-10T18:40:03+00:00,7,,104,,,,,,
2024-09-10T18:40:45+00:00,8,,19,,,,,,
2024-09-10T18:41:25+00:00,9,,71,,,,,,
2024-09-10T18:42:37+00:00,10,,142,,,,,,
2024-09-10T18:43:25+00:00,11,53,,,,,,,
2024-09-10T18:43:52+00:00,12,,,17,,,,,
2024-09-10T18:44:21+00:00,13,,,16,,,,,
2024-09-10T18:44:39+00:00,14,,,10,,,,,
2024-09-10T18:50:28+00:00,15,36,,,,,,,
2024-09-10T18:50:50+00:00,16,,,25,,,,,
2024-09-10T18:57:12+00:00,17,65,,,,,,,
2024-09-10T18:57:45+00:00,18,,,10,,,,,
